tilt,par0,par1,par2,par3
27.8476,0.327909,12.8237,9.89917,420.111
27.9736,0.233622,13.3431,-25.3216,473.717
28.3833,0.18106,27.0711,-4.07747,440.095
28.3851,0.169897,25.0462,-12.7992,588.189
29.2822,0.285626,39.4892,-25.3175,823.477
29.2825,0.22891,42.533,-21.0777,482.621
29.5708,0.576833,42.9455,-12.1094,850.282
29.5729,0.556935,45.3308,-18.768,563.466
29.5739,0.642684,45.498,-22.9355,486.066
29.7643,0.249799,52.5575,-18.9657,132.644
29.7669,0.372268,54.2161,-24.3101,-52.2169
30.1758,0.300183,53.5145,-19.5565,1097.88
30.1799,0.270379,58.0306,-27.4709,561.127
31.3316,0.589391,67.2209,-24.2007,1975.58
31.3333,0.509408,67.771,-9.03793,1997.68
31.5762,0.132626,66.0534,15.7503,2000.43
33.0987,0.390374,85.5756,12.8991,2669.43
33.1038,0.431692,90.1421,-2.59997,2060.27
33.3824,-0.166083,91.9861,70.2193,1023.99
34.8537,0.681745,123.095,-37.7046,-415.608
34.8582,0.542164,123.963,-26.3868,-559.502
36.6073,0.742038,149.837,-82.0684,-3662.51
36.6103,0.763222,142.434,-84.7286,-2485.25
36.9355,0.134929,142.205,41.005,-5871.06
38.37,0.62288,143.48,-72.7482,-5119.92
38.3794,0.679198,132.374,-109.402,-3560.37
40.0538,0.833364,74.6753,-148.208,1858.31
40.0634,0.732262,82.8286,-121.384,457.481
40.5237,0.424392,10.5578,3.40165,7416.99
40.5285,0.868836,34.1142,-208.161,9193.55
42.5386,0.939733,-102.528,-340.665,24479.7
44.5387,1.18304,-125.229,-570.455,9431.26
46.5283,1.27484,-9.1743,-432.351,-45107
48.5366,1.1264,131.471,-129.669,-61347.1
50.5331,0.958914,185.299,89.5445,-56337.3
52.5287,0.947665,136.249,124.199,-43362.8
53.1163,1.15274,101.214,5.38561,-40516.6
53.1196,1.00368,97.9005,47.5785,-40717.4
54.0593,0.988432,9.48134,30.5839,-27881.9
54.0633,1.09071,-1.69113,97.4026,-25262.5
54.5121,1.3893,-71.6494,-55.1436,-13683.8
54.9051,1.22062,-110.659,-114.556,-14304.8
54.9108,1.18244,-123.384,-139.568,-11313.3
55.8298,1.42776,-260.471,-243.813,-16.8681
55.8315,1.3145,-281.905,-26.7503,5390.19
56.5196,1.6306,-325.457,-241.811,6162.68
56.7205,1.61149,-383.493,-405.771,9336.79
56.7221,1.54098,-382.193,-350.676,10198.2
57.632,1.40623,-454.36,-70.456,5810.51
57.6322,1.50918,-437.143,-69.0052,2619.97
57.6342,1.52441,-435.308,-46.8964,4459.72
58.5245,1.59722,-334.034,-233.588,-29559.3
58.5251,1.92713,-259.867,-360.791,-36621.8
58.5256,1.47117,-351.444,-142.327,-19856.6
59.4271,1.86879,-239.522,-134.949,-45953
59.4294,1.50891,-221.62,-38.5849,-49630.4
59.532,1.83942,-137.192,127.048,-59924.6
60.3215,1.59767,-120.204,-126.477,-61367.3
60.3258,1.3314,-135.074,205.986,-52192.3
60.52,1.84452,-93.9453,238.781,-56190.3
61.2228,1.56454,-158.768,211.925,-44202.4
61.2251,1.60902,-167.561,260.818,-47752.7
61.5377,1.80522,-164.479,467.34,-42435.9
62.1132,1.69647,-231.287,244.019,-31438.6
62.1155,1.79767,-237.188,32.2877,-30442.8
62.5084,1.70092,-306.879,508.078,-18018.1
63.0233,1.99878,-420.534,126.456,-6553.28
63.0288,1.92729,-419.184,460.347,-7824.1
63.5291,2.32112,-502.816,446.603,-2070.42
63.9255,2.20576,-586.026,355.316,-591.841
63.9282,2.42092,-578.612,-10.8728,4225.15
64.5103,2.71948,-581.63,-292.62,676.558
65.5083,2.77411,-466.125,-27.8332,-40360.1
65.7138,2.44735,-548.557,-54.3104,-28350
65.7157,2.41406,-549.693,-235.772,-21002.7
66.5064,2.27253,-404.497,94.951,-44550.8
67.5094,2.61949,-531.688,175.323,-21219.3
67.5112,2.70563,-523.214,-123.146,-21783.7
68.4893,2.56313,-671.515,137.839,-6873.63
69.2964,2.69136,-823.682,509.101,2935.64
69.2987,3.14837,-861.258,-340.958,14103.5
70.4917,3.28258,-665.012,-344,-30417.8
71.1006,1.20834,-765.842,-296.371,-7958.77
71.1084,1.37358,-727.906,71.3064,-18031.7
72.4949,1.1003,-951.366,1022.2,-129.362
72.9053,1.73002,-973.783,143.114,-1421.35
72.9078,1.54199,-1000.45,315.628,-5286.21
74.4842,0.975005,-1072.18,758.359,9905.31
74.7037,2.3728,-1099.42,-42.595,12729
74.7063,2.02656,-1117.9,-157.783,15998.4
76.4604,1.22065,-1180.26,287.453,3623.14
76.4876,1.73099,-1212.16,587.654,170.754
76.4912,2.13587,-1254.89,-370.105,22245.5
78.2942,2.67569,-1417.05,-98.7159,-4728.68
78.295,2.69979,-1395.39,-271.351,-1307.67
78.4682,2.08006,-1381.32,956.074,5408.68
79.4087,2.05734,-1461.07,1480.84,-16678.3
80.087,3.46686,-1646.46,-27.0799,11589.6
80.0883,3.96696,-1685.78,-872.003,20689.2
81.8743,4.878,-1972.15,-724.652,70361.3
