RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
# Warning: don''''t start with pos_z = 0: GBL crash when planes overlap'
# 2015 beams:,


# CHIP 504
# FEBRUARY 22
15418,015418,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15419,015419,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15420,015420,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15421,015421,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15422,015422,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15423,015423,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15424,015424,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15425,015425,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15426,015426,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15427,015427,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15428,015428,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15429,015429,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15430,015430,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15436,015436,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim40-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0







# JUNE 25
# Chip 504 - upright
20182,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.245408,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.413908,0.294138,55.2434,19.0914,0.0571143,0.0125871,0.544731,0.0510814,40,0
20183,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.246282,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.414664,0.29402,55.182,19.0939,0.0597199,0.0125797,0.544546,0.0510213,40,0
20184,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.245723,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.414511,0.27676,55.2562,20.0653,0.0546061,0.0126103,0.54471,0.0510533,40,0
20185,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.245625,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.414813,0.276903,55.1456,20.0642,0.0674085,0.0126445,0.544789,0.0510214,40,0
20186,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.245614,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.415391,0.259052,55.1864,21.0458,0.0766733,0.0127154,0.544633,0.0508175,40,0
20187,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.245863,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.415733,0.259045,55.2407,21.0587,0.063244,0.0126834,0.544671,0.0508001,40,0
20188,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.245103,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.415933,0.240769,55.0945,22.0532,0.0588981,0.0127196,0.544547,0.0507844,40,0
20189,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.245656,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.416104,0.240915,55.0947,22.0512,0.0664436,0.0127511,0.54469,0.0508597,40,0
20192,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.244398,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.417158,0.202449,55.1821,24.0534,0.0630603,0.0128717,0.544595,0.0505076,40,0
20193,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.244501,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.41757,0.202471,55.0341,24.0636,0.040758,0.0128384,0.544847,0.0507159,40,0
20194,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.246677,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.417396,0.285245,55.1463,19.5924,0.068472,0.0125997,0.544652,0.0506414,40,0
20195,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.246765,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.418073,0.28519,55.1734,19.5896,0.0615965,0.0126062,0.544824,0.0506469,40,0
20196,020182,gear_desy2015_06c.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.247258,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.418737,0.285218,55.1459,19.5876,0.0692965,0.0126083,0.544699,0.050618,40,0
