RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
# Warning: don''''t start with pos_z = 0: GBL crash when planes overlap'
# 2015 beams:,

# JANUAR 25
14377,014377,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14378,014378,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14379,014379,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0


# JANUAR 30
14392,014392,gear_desy2015_01a.xml,5.6,500,c500-ia23-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14393,014393,gear_desy2015_01a.xml,5.6,500,c500-ia23-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14394,014394,gear_desy2015_01a.xml,5.6,500,c500-ia22-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14396,014396,gear_desy2015_01a.xml,5.6,500,c500-ia21-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14398,014398,gear_desy2015_01a.xml,5.6,500,c500-ia25-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14401,014401,gear_desy2015_01a.xml,5.6,500,c500-ia27-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14403,014403,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0

14404,014404,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14405,014405,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14406,014406,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14407,014407,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14408,014408,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14409,014409,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14410,014410,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
