RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel

# CHIP 504
# Testbeam March 2016

23569,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235497,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53357,-0.627093,48.5383,19.3918,0.00624951,-0.00568872,-2.6,-0.8,40,0,0,0,0
23570,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235233,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53349,-0.627144,48.6972,19.3935,-0.00465773,-0.00570381,-2.6,-0.8,40,0,0,0,0
23571,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235939,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53329,-0.627078,48.6819,19.3923,0.0131611,-0.0056764,-2.6,-0.8,40,0,0,0,0
23572,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236106,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53284,-0.627034,48.6348,19.4007,0.0289766,-0.00566818,-2.6,-0.8,40,0,0,0,0
23573,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235975,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53319,-0.626904,48.6166,19.3929,-0.0014881,-0.00569549,-2.6,-0.8,40,0,0,0,0
23574,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236024,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53299,-0.62703,48.6553,19.3924,0.00194153,-0.00568694,-2.6,-0.8,40,0,0,0,0
23575,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235536,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.5328,-0.626987,48.4796,19.3944,0.0158816,-0.00569696,-2.6,-0.8,40,0,0,0,0
23576,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235633,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53315,-0.626884,48.5669,19.393,0.016276,-0.00568019,-2.6,-0.8,40,0,0,0,0
23577,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235694,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53314,-0.627059,48.7268,19.3922,0.00909626,-0.00568697,-2.6,-0.8,40,0,0,0,0
23578,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235639,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53366,-0.626499,48.688,19.3936,0.0165939,-0.00567464,-2.6,-0.8,40,0,0,0,0
