RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
19724,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.275307,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72306,0.297594,43.3854,31.3333,-0.70723,-0.00546535,-3.95241,-0.0618891,40,0,0,0,0
19725,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.276145,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72338,0.297251,43.4715,31.3316,-0.707288,-0.00545319,-3.95212,-0.0617649,40,0,0,0,0
19726,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.277641,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72003,0.313389,43.5466,29.5739,-0.706168,-0.00541109,-3.95317,-0.0624524,40,0,0,0,0
19727,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.277599,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72039,0.312794,43.4812,29.5729,-0.698516,-0.00533846,-3.95334,-0.062462,40,0,0,0,0
19728,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.276828,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72035,0.312799,43.5941,29.5708,-0.706414,-0.00537703,-3.95351,-0.0624265,40,0,0,0,0
19729,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.277109,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.71719,0.328579,43.3943,27.8476,-0.695266,-0.00529277,-3.9539,-0.0629083,40,0,0,0,0
19730,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.27784,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.71754,0.327906,43.5324,27.8411,-0.695369,-0.00527411,-3.954,-0.0628493,40,0,0,0,0
19731,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.27868,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.7144,0.343929,43.3717,26.1265,-0.687836,-0.00517308,-3.95482,-0.0636595,40,0,0,0,0
19732,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.278077,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.71506,0.343301,43.3826,26.1248,-0.703333,-0.00523066,-3.95465,-0.0635506,40,0,0,0,0
19733,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.278312,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72215,0.351208,43.3849,24.4519,-0.691412,-0.0051373,-3.95595,-0.0643085,40,0,0,0,0
19734,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.27832,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72314,0.350339,43.5057,24.4428,-0.6961,-0.00510988,-3.95572,-0.0641674,40,0,0,0,0
